blackbox_,learner_,rules_,coverage_,time_without_min,time_without_max,time_without_median,time_without_std,time_with_min,time_with_max,time_with_median,time_with_std,specificity_without_min,specificity_without_max,specificity_without_median,specificity_without_std,precision_without_min,precision_without_max,precision_without_median,precision_without_std,recall_without_min,recall_without_max,recall_without_median,recall_without_std,and_without_min,and_without_max,and_without_median,and_without_std,or_without_min,or_without_max,or_without_median,or_without_std,predicates_without_min,predicates_without_max,predicates_without_median,predicates_without_std,specificity_with_min,specificity_with_max,specificity_with_median,specificity_with_std,precision_with_min,precision_with_max,precision_with_median,precision_with_std,recall_with_min,recall_with_max,recall_with_median,recall_with_std,and_with_min,and_with_max,and_with_median,and_with_std,or_with_min,or_with_max,or_with_median,or_with_std,predicates_with_min,predicates_with_max,predicates_with_median,predicates_with_std,time_influential_min,time_influential_max,time_influential_median,time_influential_std,fscore_without_min,fscore_without_max,fscore_without_median,fscore_without_std,fscore_with_min,fscore_with_max,fscore_with_median,fscore_with_std
bank,0,tree,0.7,0.133,0.159,0.146,0.01,0.2,0.26,0.245,0.023,0.959,0.981,0.965,0.01,0.442,0.495,0.468,0.023,0.191,0.352,0.331,0.081,1,1,1.0,0.0,0,0,0.0,0.0,2,2,2.0,0.0,0.827,0.892,0.882,0.027,0.314,0.405,0.384,0.038,0.734,0.819,0.751,0.033,3,5,4.0,0.837,3,6,4.0,1.14,7,12,9.0,1.949,-1.0,-1.0,-1.0,0.0,0.363,0.44,0.415,0.032,0.358,0.446,0.424,0.037
bank,0,tree,0.8,0.114,0.163,0.141,0.018,0.193,0.383,0.25,0.071,0.959,0.981,0.965,0.01,0.442,0.495,0.468,0.023,0.191,0.352,0.331,0.081,1,1,1.0,0.0,0,0,0.0,0.0,2,2,2.0,0.0,0.827,0.862,0.847,0.014,0.314,0.366,0.355,0.02,0.808,0.855,0.837,0.02,4,8,5.0,1.517,4,9,5.0,1.924,9,18,11.0,3.421,-1.0,-1.0,-1.0,0.0,0.363,0.44,0.415,0.032,0.358,0.413,0.4,0.021
bank,2,bayesian,0.6,193.606,260.274,224.255,23.721,458.903,1312.595,958.412,324.834,0.959,0.975,0.972,0.007,0.421,0.456,0.442,0.015,0.184,0.333,0.252,0.056,1,1,1.0,0.0,0,0,0.0,0.0,2,2,2.0,0.0,0.86,0.898,0.881,0.014,0.307,0.39,0.349,0.031,0.633,0.662,0.645,0.011,2,6,5.0,1.643,3,8,5.0,1.924,6,14,10.0,2.966,0.957,0.98,0.965,0.008,0.335,0.415,0.38,0.03,0.343,0.425,0.383,0.031
bank,2,induction,0.6,20.684,25.775,23.576,2.078,84.787,142.547,100.303,25.339,0.94,0.945,0.943,0.002,0.387,0.43,0.406,0.016,0.376,0.423,0.404,0.018,0,0,0.0,0.0,0,0,0.0,0.0,1,1,1.0,0.0,0.565,0.87,0.869,0.166,0.167,0.355,0.345,0.1,0.676,0.833,0.725,0.071,0,0,0.0,0.0,1,3,2.0,1.0,2,4,3.0,1.0,1.006,1.346,1.046,0.176,0.385,0.429,0.405,0.016,0.199,0.395,0.382,0.103
bank,2,islearn,0.6,199.721,295.891,242.194,37.225,-1.0,-1.0,-1.0,0.0,0.74,0.802,0.755,0.024,0.205,0.224,0.209,0.008,0.605,0.692,0.656,0.032,1,1,1.0,0.0,0,0,0.0,0.0,2,2,2.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,0.0,-1,-1,-1.0,0.0,-1,-1,-1.0,0.0,-1,-1,-1.0,0.0,1.005,1.354,1.054,0.159,0.237,0.256,0.242,0.007,-1.0,-1.0,-1.0,0.0
bank,2,tree,0.6,1.132,1.23,1.22,0.049,1.157,1.286,1.23,0.05,0.959,0.981,0.964,0.011,0.442,0.495,0.468,0.022,0.191,0.352,0.325,0.08,1,1,1.0,0.0,0,0,0.0,0.0,2,2,2.0,0.0,0.879,0.903,0.892,0.01,0.335,0.391,0.373,0.024,0.603,0.715,0.631,0.044,2,5,3.0,1.342,2,4,4.0,0.894,5,10,8.0,2.121,1.015,1.432,1.345,0.199,0.363,0.43,0.415,0.03,0.368,0.423,0.412,0.024
bank,3,bayesian,0.6,189.29,217.617,215.061,11.787,410.634,917.958,463.322,213.677,0.948,0.959,0.959,0.005,0.416,0.458,0.436,0.016,0.309,0.383,0.349,0.026,1,1,1.0,0.0,0,0,0.0,0.0,2,2,2.0,0.0,0.873,0.908,0.888,0.013,0.339,0.4,0.353,0.023,0.609,0.67,0.622,0.024,2,4,2.0,0.894,2,4,3.0,0.837,5,9,6.0,1.643,0.966,0.984,0.966,0.008,0.399,0.431,0.414,0.012,0.376,0.431,0.385,0.022
bank,3,induction,0.6,37.273,57.224,41.795,7.684,172.827,251.99,201.622,29.067,0.94,0.945,0.943,0.002,0.387,0.43,0.406,0.016,0.376,0.423,0.404,0.018,0,0,0.0,0.0,0,0,0.0,0.0,1,1,1.0,0.0,0.866,0.87,0.869,0.002,0.334,0.355,0.344,0.008,0.677,0.727,0.705,0.021,0,0,0.0,0.0,2,3,3.0,0.548,3,4,4.0,0.548,0.992,1.419,1.309,0.189,0.385,0.429,0.405,0.016,0.374,0.395,0.382,0.008
bank,3,islearn,0.6,458.212,571.781,534.786,41.852,-1.0,-1.0,-1.0,0.0,0.691,0.818,0.752,0.053,0.17,0.249,0.192,0.033,0.601,0.649,0.608,0.02,1,1,1.0,0.0,0,0,0.0,0.0,2,2,2.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,0.0,-1,-1,-1.0,0.0,-1,-1,-1.0,0.0,-1,-1,-1.0,0.0,0.978,1.361,1.339,0.205,0.199,0.282,0.222,0.035,-1.0,-1.0,-1.0,0.0
bank,3,tree,0.6,1.088,1.273,1.171,0.08,1.112,1.299,1.182,0.077,0.959,0.981,0.964,0.011,0.442,0.495,0.468,0.022,0.191,0.352,0.325,0.08,1,1,1.0,0.0,0,0,0.0,0.0,2,2,2.0,0.0,0.879,0.903,0.903,0.01,0.373,0.391,0.385,0.007,0.631,0.715,0.643,0.035,2,3,3.0,0.548,2,3,3.0,0.548,5,7,7.0,1.095,0.982,1.394,1.234,0.194,0.363,0.43,0.415,0.03,0.412,0.424,0.422,0.005
