run,blackbox,model,learner,rules,coverage,seed,model_number,specificity_without,precision_without,recall_without,time_without,and_without,or_without,predicates_without,specificity_with,precision_with,recall_with,time_with,and_with,or_with,predicates_with,time_influential
1,bank,rfc,0,induction,0.8,12345678,1,0.94,0.387,0.376,187.608,0,0,1,0.895,0.368,0.61,933.482,0,2,3,-1.0
1,bank,rfc,0,induction,0.8,23456789,2,0.941,0.399,0.414,187.993,0,0,1,0.89,0.355,0.643,1026.598,0,2,3,-1.0
1,bank,rfc,0,induction,0.8,34567890,3,0.945,0.43,0.423,216.471,0,0,1,0.945,0.43,0.423,1174.306,1,2,4,-1.0
1,bank,rfc,0,induction,0.8,45678901,4,0.943,0.406,0.401,195.374,0,0,1,0.869,0.337,0.685,1129.986,0,3,4,-1.0
1,bank,rfc,0,induction,0.8,56789012,5,0.944,0.412,0.404,167.574,0,0,1,0.869,0.345,0.705,1027.254,0,3,4,-1.0
1,bank,rfc,0,islearn,0.3,12345678,1,0.953,0.394,0.305,8715.569,1,0,2,-1,-1,-1,-1.0,-1,-1,-1,-1.0
1,bank,rfc,0,islearn,0.3,23456789,2,0.936,0.323,0.321,8398.924,1,0,2,-1,-1,-1,-1.0,-1,-1,-1,-1.0
1,bank,rfc,0,islearn,0.3,34567890,3,0.966,0.469,0.302,8546.974,1,0,2,-1,-1,-1,-1.0,-1,-1,-1,-1.0
1,bank,rfc,0,islearn,0.3,45678901,4,0.959,0.417,0.306,8633.626,1,0,2,-1,-1,-1,-1.0,-1,-1,-1,-1.0
1,bank,rfc,0,islearn,0.3,56789012,5,0.961,0.438,0.307,8520.556,1,0,2,-1,-1,-1,-1.0,-1,-1,-1,-1.0
1,bank,rfc,0,islearn,0.4,12345678,1,0.925,0.354,0.408,8201.237,1,0,2,-1,-1,-1,-1.0,-1,-1,-1,-1.0
1,bank,rfc,0,islearn,0.4,23456789,2,0.882,0.25,0.417,7724.76,1,0,2,-1,-1,-1,-1.0,-1,-1,-1,-1.0
1,bank,rfc,0,islearn,0.4,34567890,3,0.933,0.377,0.41,7935.726,1,0,2,-1,-1,-1,-1.0,-1,-1,-1,-1.0
1,bank,rfc,0,islearn,0.4,45678901,4,0.917,0.339,0.436,8241.872,1,0,2,-1,-1,-1,-1.0,-1,-1,-1,-1.0
1,bank,rfc,0,islearn,0.4,56789012,5,0.914,0.309,0.4,8236.852,1,0,2,-1,-1,-1,-1.0,-1,-1,-1,-1.0
1,bank,rfc,0,islearn,0.5,12345678,1,0.888,0.31,0.5,8088.627,1,0,2,-1,-1,-1,-1.0,-1,-1,-1,-1.0
1,bank,rfc,0,islearn,0.5,23456789,2,0.844,0.238,0.508,8298.275,1,0,2,-1,-1,-1,-1.0,-1,-1,-1,-1.0
1,bank,rfc,0,islearn,0.5,34567890,3,0.869,0.277,0.512,7491.307,1,0,2,-1,-1,-1,-1.0,-1,-1,-1,-1.0
1,bank,rfc,0,islearn,0.5,45678901,4,0.891,0.339,0.507,7853.03,1,0,2,-1,-1,-1,-1.0,-1,-1,-1,-1.0
1,bank,rfc,0,islearn,0.5,56789012,5,0.842,0.237,0.502,7956.957,1,0,2,-1,-1,-1,-1.0,-1,-1,-1,-1.0
1,bank,rfc,0,islearn,0.6,12345678,1,0.787,0.223,0.608,7858.135,1,0,2,-1,-1,-1,-1.0,-1,-1,-1,-1.0
1,bank,rfc,0,islearn,0.6,23456789,2,0.781,0.206,0.603,7653.739,1,0,2,-1,-1,-1,-1.0,-1,-1,-1,-1.0
1,bank,rfc,0,islearn,0.6,34567890,3,0.823,0.251,0.6,7536.606,1,0,2,-1,-1,-1,-1.0,-1,-1,-1,-1.0
1,bank,rfc,0,islearn,0.6,45678901,4,0.822,0.25,0.614,7774.875,1,0,2,-1,-1,-1,-1.0,-1,-1,-1,-1.0
1,bank,rfc,0,islearn,0.6,56789012,5,0.795,0.223,0.602,7866.644,1,0,2,-1,-1,-1,-1.0,-1,-1,-1,-1.0
1,bank,rfc,0,islearn,0.7,12345678,1,0.677,0.18,0.706,6827.614,1,0,2,-1,-1,-1,-1.0,-1,-1,-1,-1.0
1,bank,rfc,0,islearn,0.7,23456789,2,0.671,0.177,0.716,7693.913,1,0,2,-1,-1,-1,-1.0,-1,-1,-1,-1.0
1,bank,rfc,0,islearn,0.7,34567890,3,0.711,0.195,0.711,7003.783,1,0,2,-1,-1,-1,-1.0,-1,-1,-1,-1.0
1,bank,rfc,0,islearn,0.7,45678901,4,0.617,0.151,0.705,7028.721,1,0,2,-1,-1,-1,-1.0,-1,-1,-1,-1.0
1,bank,rfc,0,islearn,0.7,56789012,5,0.671,0.173,0.705,8106.013,1,0,2,-1,-1,-1,-1.0,-1,-1,-1,-1.0
1,bank,rfc,0,islearn,0.8,12345678,1,0.572,0.16,0.81,6814.747,1,0,2,-1,-1,-1,-1.0,-1,-1,-1,-1.0
1,bank,rfc,0,islearn,0.8,23456789,2,0.616,0.164,0.801,6380.581,1,0,2,-1,-1,-1,-1.0,-1,-1,-1,-1.0
1,bank,rfc,0,islearn,0.8,34567890,3,0.565,0.154,0.807,6539.519,1,0,2,-1,-1,-1,-1.0,-1,-1,-1,-1.0
1,bank,rfc,0,islearn,0.8,45678901,4,0.527,0.142,0.81,6653.717,1,0,2,-1,-1,-1,-1.0,-1,-1,-1,-1.0
1,bank,rfc,0,islearn,0.8,56789012,5,0.592,0.161,0.802,7454.43,1,0,2,-1,-1,-1,-1.0,-1,-1,-1,-1.0
1,bank,rfc,0,tree,0.3,12345678,1,0.978,0.468,0.191,0.105,1,0,2,0.916,0.392,0.535,0.123,2,2,5,-1.0
1,bank,rfc,0,tree,0.3,23456789,2,0.959,0.444,0.352,0.166,1,0,2,0.959,0.444,0.352,0.166,1,0,2,-1.0
1,bank,rfc,0,tree,0.3,34567890,3,0.965,0.479,0.331,0.165,1,0,2,0.965,0.479,0.331,0.165,1,0,2,-1.0
1,bank,rfc,0,tree,0.3,45678901,4,0.981,0.495,0.192,0.12,1,0,2,0.954,0.451,0.392,0.138,2,1,4,-1.0
1,bank,rfc,0,tree,0.3,56789012,5,0.959,0.442,0.333,0.098,1,0,2,0.959,0.442,0.333,0.098,1,0,2,-1.0
1,bank,rfc,0,tree,0.4,12345678,1,0.978,0.468,0.191,0.176,1,0,2,0.916,0.392,0.535,0.199,2,2,5,-1.0
1,bank,rfc,0,tree,0.4,23456789,2,0.959,0.444,0.352,0.125,1,0,2,0.903,0.384,0.643,0.149,2,2,5,-1.0
1,bank,rfc,0,tree,0.4,34567890,3,0.965,0.479,0.331,0.179,1,0,2,0.903,0.393,0.64,0.203,2,2,5,-1.0
1,bank,rfc,0,tree,0.4,45678901,4,0.981,0.495,0.192,0.107,1,0,2,0.903,0.391,0.643,0.161,3,3,7,-1.0
1,bank,rfc,0,tree,0.4,56789012,5,0.959,0.442,0.333,0.105,1,0,2,0.92,0.418,0.585,0.127,2,2,5,-1.0
1,bank,rfc,0,tree,0.5,12345678,1,0.978,0.468,0.191,0.173,1,0,2,0.916,0.392,0.535,0.196,2,2,5,-1.0
1,bank,rfc,0,tree,0.5,23456789,2,0.959,0.444,0.352,0.105,1,0,2,0.903,0.384,0.643,0.122,2,2,5,-1.0
1,bank,rfc,0,tree,0.5,34567890,3,0.965,0.479,0.331,0.169,1,0,2,0.903,0.393,0.64,0.192,2,2,5,-1.0
1,bank,rfc,0,tree,0.5,45678901,4,0.981,0.495,0.192,0.186,1,0,2,0.903,0.391,0.643,0.242,3,3,7,-1.0
1,bank,rfc,0,tree,0.5,56789012,5,0.959,0.442,0.333,0.17,1,0,2,0.92,0.418,0.585,0.193,2,2,5,-1.0
1,bank,rfc,0,tree,0.6,12345678,1,0.978,0.468,0.191,0.107,1,0,2,0.892,0.386,0.672,0.161,3,3,7,-1.0
1,bank,rfc,0,tree,0.6,23456789,2,0.959,0.444,0.352,0.104,1,0,2,0.903,0.384,0.643,0.121,2,2,5,-1.0
