blackbox,model,learner,rules,coverage,seed,model_number,time_without,time_with,specificity_without,precision_without,recall_without,and_without,or_without,predicates_without,specificity_with,precision_with,recall_with,and_with,or_with,predicates_with,time_influential,fscore_without,fscore_with
job,rfc,6,bayesian,0.6,23456789,2,239.486,500.11,0.869,0.462,0.39,0,0,1,0.722,0.418,0.689,1,1,3,0.973,0.446,0.454
job,rfc,6,bayesian,0.6,34567890,3,237.818,1015.397,0.979,0.516,0.08,1,0,2,0.596,0.35,0.796,5,4,10,0.966,0.247,0.394
job,rfc,6,bayesian,0.6,45678901,4,209.997,448.393,0.82,0.416,0.449,0,0,1,0.63,0.369,0.754,1,1,3,0.977,0.422,0.411
job,rfc,6,bayesian,0.6,56789012,5,192.211,393.791,0.889,0.474,0.359,1,0,2,0.663,0.376,0.728,2,1,4,0.972,0.445,0.416
job,rfc,6,induction,0.6,12345678,1,70.258,129.673,0.88,0.485,0.381,0,0,1,0.616,0.322,0.612,0,1,2,1.395,0.46,0.356
job,rfc,6,induction,0.6,23456789,2,52.066,121.854,0.875,0.47,0.382,0,0,1,0.618,0.317,0.61,0,1,2,1.372,0.449,0.351
job,rfc,6,induction,0.6,34567890,3,78.977,145.766,0.881,0.469,0.387,0,0,1,0.517,0.287,0.697,0,1,2,0.997,0.45,0.325
job,rfc,6,induction,0.6,45678901,4,76.591,132.633,0.878,0.479,0.392,0,0,1,0.646,0.337,0.623,0,1,2,0.994,0.459,0.371
job,rfc,6,induction,0.6,56789012,5,77.331,148.187,0.879,0.475,0.392,0,0,1,0.517,0.296,0.718,0,1,2,1.371,0.456,0.335
job,rfc,6,islearn,0.6,12345678,1,805.337,-1.0,0.487,0.272,0.647,1,0,2,-1.0,-1.0,-1.0,-1,-1,-1,1.389,0.308,-1.0
job,rfc,6,islearn,0.6,23456789,2,924.598,-1.0,0.636,0.33,0.6,1,0,2,-1.0,-1.0,-1.0,-1,-1,-1,1.398,0.363,-1.0
job,rfc,6,islearn,0.6,34567890,3,926.619,-1.0,0.615,0.305,0.611,1,0,2,-1.0,-1.0,-1.0,-1,-1,-1,1.086,0.339,-1.0
job,rfc,6,islearn,0.6,45678901,4,927.895,-1.0,0.576,0.287,0.607,1,0,2,-1.0,-1.0,-1.0,-1,-1,-1,1.244,0.321,-1.0
job,rfc,6,islearn,0.6,56789012,5,945.595,-1.0,0.574,0.286,0.621,1,0,2,-1.0,-1.0,-1.0,-1,-1,-1,1.404,0.321,-1.0
job,rfc,6,tree,0.6,12345678,1,1.184,1.194,0.885,0.493,0.378,1,0,2,0.745,0.441,0.677,2,1,4,1.088,0.465,0.474
job,rfc,6,tree,0.6,23456789,2,1.162,1.171,0.876,0.472,0.384,1,0,2,0.729,0.423,0.687,2,1,4,1.38,0.451,0.458
job,rfc,6,tree,0.6,34567890,3,1.102,1.111,0.885,0.466,0.367,1,0,2,0.735,0.409,0.672,2,1,4,1.108,0.442,0.444
job,rfc,6,tree,0.6,45678901,4,1.177,1.187,0.879,0.473,0.379,1,0,2,0.739,0.423,0.667,2,1,4,1.362,0.451,0.456
job,rfc,6,tree,0.6,56789012,5,1.115,1.124,0.908,0.492,0.32,1,0,2,0.753,0.413,0.624,2,1,4,1.141,0.444,0.443
php,rfc,0,bayesian,0.3,12345678,1,211.25,435.612,0.81,0.07,0.21,1,0,2,0.744,0.15,0.663,2,1,4,-1.0,0.081,0.177
php,rfc,0,bayesian,0.3,23456789,2,260.195,797.037,0.985,0.224,0.062,1,0,2,0.877,0.154,0.326,4,3,8,-1.0,0.147,0.172
php,rfc,0,bayesian,0.3,34567890,3,162.748,363.857,0.991,0.186,0.027,1,0,2,0.106,0.069,0.926,2,1,4,-1.0,0.085,0.085
php,rfc,0,bayesian,0.3,45678901,4,152.438,366.656,0.94,0.092,0.082,1,0,2,0.558,0.073,0.472,2,1,4,-1.0,0.09,0.088
php,rfc,0,bayesian,0.3,56789012,5,202.727,202.727,0.75,0.103,0.392,1,0,2,0.75,0.103,0.392,1,0,2,-1.0,0.121,0.121
php,rfc,0,bayesian,0.4,12345678,1,221.927,445.89,0.81,0.07,0.21,1,0,2,0.744,0.15,0.663,2,1,4,-1.0,0.081,0.177
php,rfc,0,bayesian,0.4,23456789,2,269.891,1025.63,0.985,0.224,0.062,1,0,2,0.296,0.072,0.798,5,4,10,-1.0,0.147,0.088
php,rfc,0,bayesian,0.4,34567890,3,144.639,333.938,0.991,0.186,0.027,1,0,2,0.106,0.069,0.926,2,1,4,-1.0,0.085,0.085
php,rfc,0,bayesian,0.4,45678901,4,154.198,377.776,0.94,0.092,0.082,1,0,2,0.558,0.073,0.472,2,1,4,-1.0,0.09,0.088
php,rfc,0,bayesian,0.4,56789012,5,209.19,396.898,0.75,0.103,0.392,1,0,2,0.654,0.173,0.985,2,1,4,-1.0,0.121,0.207
php,rfc,0,bayesian,0.5,12345678,1,223.75,453.503,0.81,0.07,0.21,1,0,2,0.744,0.15,0.663,2,1,4,-1.0,0.081,0.177
php,rfc,0,bayesian,0.5,23456789,2,267.99,1032.508,0.985,0.224,0.062,1,0,2,0.296,0.072,0.798,5,4,10,-1.0,0.147,0.088
php,rfc,0,bayesian,0.5,34567890,3,154.571,352.948,0.991,0.186,0.027,1,0,2,0.106,0.069,0.926,2,1,4,-1.0,0.085,0.085
php,rfc,0,bayesian,0.5,45678901,4,151.02,555.125,0.94,0.092,0.082,1,0,2,0.453,0.118,0.99,3,2,6,-1.0,0.09,0.143
php,rfc,0,bayesian,0.5,56789012,5,201.909,383.498,0.75,0.103,0.392,1,0,2,0.654,0.173,0.985,2,1,4,-1.0,0.121,0.207
php,rfc,0,bayesian,0.6,12345678,1,219.524,442.782,0.81,0.07,0.21,1,0,2,0.744,0.15,0.663,2,1,4,-1.0,0.081,0.177
php,rfc,0,bayesian,0.6,23456789,2,274.003,1033.671,0.985,0.224,0.062,1,0,2,0.296,0.072,0.798,5,4,10,-1.0,0.147,0.088
php,rfc,0,bayesian,0.6,34567890,3,150.504,339.203,0.991,0.186,0.027,1,0,2,0.106,0.069,0.926,2,1,4,-1.0,0.085,0.085
php,rfc,0,bayesian,0.6,45678901,4,161.169,563.505,0.94,0.092,0.082,1,0,2,0.453,0.118,0.99,3,2,6,-1.0,0.09,0.143
php,rfc,0,bayesian,0.6,56789012,5,203.874,377.331,0.75,0.103,0.392,1,0,2,0.654,0.173,0.985,2,1,4,-1.0,0.121,0.207
php,rfc,0,bayesian,0.7,12345678,1,223.507,672.566,0.81,0.07,0.21,1,0,2,0.668,0.162,0.938,3,2,6,-1.0,0.081,0.194
php,rfc,0,bayesian,0.7,23456789,2,263.886,1020.711,0.985,0.224,0.062,1,0,2,0.296,0.072,0.798,5,4,10,-1.0,0.147,0.088
php,rfc,0,bayesian,0.7,34567890,3,154.001,351.355,0.991,0.186,0.027,1,0,2,0.106,0.069,0.926,2,1,4,-1.0,0.085,0.085
php,rfc,0,bayesian,0.7,45678901,4,152.796,566.643,0.94,0.092,0.082,1,0,2,0.453,0.118,0.99,3,2,6,-1.0,0.09,0.143
php,rfc,0,bayesian,0.7,56789012,5,224.648,416.364,0.75,0.103,0.392,1,0,2,0.654,0.173,0.985,2,1,4,-1.0,0.121,0.207
php,rfc,0,bayesian,0.8,12345678,1,223.649,667.962,0.81,0.07,0.21,1,0,2,0.668,0.162,0.938,3,2,6,-1.0,0.081,0.194
php,rfc,0,bayesian,0.8,23456789,2,265.774,1265.511,0.985,0.224,0.062,1,0,2,0.288,0.073,0.824,6,5,12,-1.0,0.147,0.089
php,rfc,0,bayesian,0.8,34567890,3,155.578,354.251,0.991,0.186,0.027,1,0,2,0.106,0.069,0.926,2,1,4,-1.0,0.085,0.085
php,rfc,0,bayesian,0.8,45678901,4,150.607,556.677,0.94,0.092,0.082,1,0,2,0.453,0.118,0.99,3,2,6,-1.0,0.09,0.143
php,rfc,0,bayesian,0.8,56789012,5,205.259,382.225,0.75,0.103,0.392,1,0,2,0.654,0.173,0.985,2,1,4,-1.0,0.121,0.207
php,rfc,0,induction,0.3,12345678,1,219.722,796.385,0.969,0.205,0.117,0,0,1,0.708,0.128,0.627,0,1,2,-1.0,0.178,0.152
php,rfc,0,induction,0.3,23456789,2,198.05,1260.716,0.987,0.255,0.067,0,0,1,0.943,0.233,0.256,0,2,3,-1.0,0.163,0.237
php,rfc,0,induction,0.3,34567890,3,203.803,1280.765,0.995,0.354,0.042,0,0,1,0.852,0.176,0.442,0,2,3,-1.0,0.142,0.2
php,rfc,0,induction,0.3,45678901,4,188.227,942.868,0.932,0.23,0.273,0,0,1,0.909,0.213,0.333,0,1,2,-1.0,0.237,0.23
php,rfc,0,induction,0.3,56789012,5,269.066,1992.228,0.969,0.218,0.116,0,0,1,0.713,0.135,0.61,0,3,4,-1.0,0.185,0.16
php,rfc,0,induction,0.4,12345678,1,235.26,842.203,0.969,0.205,0.117,0,0,1,0.708,0.128,0.627,0,1,2,-1.0,0.178,0.152
php,rfc,0,induction,0.4,23456789,2,254.096,2070.109,0.987,0.255,0.067,0,0,1,0.71,0.136,0.668,0,4,5,-1.0,0.163,0.162
php,rfc,0,induction,0.4,34567890,3,265.535,1310.459,0.995,0.354,0.042,0,0,1,0.852,0.176,0.442,0,2,3,-1.0,0.142,0.2
php,rfc,0,induction,0.4,45678901,4,237.837,884.067,0.932,0.23,0.273,0,0,1,0.725,0.15,0.655,0,2,3,-1.0,0.237,0.177
php,rfc,0,induction,0.4,56789012,5,276.876,1905.387,0.969,0.218,0.116,0,0,1,0.713,0.135,0.61,0,3,4,-1.0,0.185,0.16
php,rfc,0,induction,0.5,12345678,1,211.552,784.253,0.969,0.205,0.117,0,0,1,0.708,0.128,0.627,0,1,2,-1.0,0.178,0.152
php,rfc,0,induction,0.5,23456789,2,212.758,2034.776,0.987,0.255,0.067,0,0,1,0.71,0.136,0.668,0,4,5,-1.0,0.163,0.162
php,rfc,0,induction,0.5,34567890,3,232.615,1552.997,0.995,0.354,0.042,0,0,1,0.852,0.176,0.442,0,2,3,-1.0,0.142,0.2
php,rfc,0,induction,0.5,45678901,4,226.953,903.954,0.932,0.23,0.273,0,0,1,0.725,0.15,0.655,0,2,3,-1.0,0.237,0.177
php,rfc,0,induction,0.5,56789012,5,275.663,1880.529,0.969,0.218,0.116,0,0,1,0.713,0.135,0.61,0,3,4,-1.0,0.185,0.16
php,rfc,0,induction,0.6,12345678,1,216.11,816.829,0.969,0.205,0.117,0,0,1,0.708,0.128,0.627,0,1,2,-1.0,0.178,0.152
php,rfc,0,induction,0.6,23456789,2,200.909,2051.458,0.987,0.255,0.067,0,0,1,0.71,0.136,0.668,0,4,5,-1.0,0.163,0.162
php,rfc,0,induction,0.6,34567890,3,228.046,2010.443,0.995,0.354,0.042,0,0,1,0.851,0.177,0.444,0,3,4,-1.0,0.142,0.201
php,rfc,0,induction,0.6,45678901,4,214.427,1081.23,0.932,0.23,0.273,0,0,1,0.725,0.15,0.655,0,2,3,-1.0,0.237,0.177
php,rfc,0,induction,0.6,56789012,5,247.333,1944.864,0.969,0.218,0.116,0,0,1,0.713,0.135,0.61,0,3,4,-1.0,0.185,0.16
php,rfc,0,induction,0.7,12345678,1,203.675,924.308,0.969,0.205,0.117,0,0,1,0.697,0.129,0.658,0,2,3,-1.0,0.178,0.154
php,rfc,0,induction,0.7,23456789,2,195.79,2036.808,0.987,0.255,0.067,0,0,1,0.71,0.136,0.668,0,4,5,-1.0,0.163,0.162
php,rfc,0,induction,0.7,34567890,3,198.828,2050.386,0.995,0.354,0.042,0,0,1,0.851,0.177,0.447,0,3,4,-1.0,0.142,0.201
php,rfc,0,induction,0.7,45678901,4,190.588,1126.16,0.932,0.23,0.273,0,0,1,0.909,0.214,0.336,0,2,3,-1.0,0.237,0.231
php,rfc,0,induction,0.7,56789012,5,243.447,1883.99,0.969,0.218,0.116,0,0,1,0.713,0.135,0.61,0,3,4,-1.0,0.185,0.16
php,rfc,0,induction,0.8,12345678,1,192.983,1181.511,0.969,0.205,0.117,0,0,1,0.697,0.129,0.658,0,3,4,-1.0,0.178,0.154
php,rfc,0,induction,0.8,23456789,2,187.519,1982.666,0.987,0.255,0.067,0,0,1,0.71,0.136,0.668,0,4,5,-1.0,0.163,0.162
php,rfc,0,induction,0.8,34567890,3,221.596,2931.812,0.995,0.354,0.042,0,0,1,0.849,0.178,0.457,0,4,5,-1.0,0.142,0.203
php,rfc,0,induction,0.8,45678901,4,197.76,1550.069,0.932,0.23,0.273,0,0,1,0.725,0.15,0.655,0,2,3,-1.0,0.237,0.177
php,rfc,0,induction,0.8,56789012,5,246.882,2165.415,0.969,0.218,0.116,0,0,1,0.702,0.137,0.646,0,3,4,-1.0,0.185,0.163
php,rfc,0,islearn,0.3,12345678,1,6458.809,-1.0,0.967,0.401,0.319,1,0,2,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,0.381,-1.0
php,rfc,0,islearn,0.3,23456789,2,6322.974,-1.0,0.961,0.346,0.301,1,0,2,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,0.336,-1.0
php,rfc,0,islearn,0.3,34567890,3,6517.799,-1.0,0.963,0.403,0.343,1,0,2,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,0.389,-1.0
php,rfc,0,islearn,0.3,45678901,4,6910.716,-1.0,0.959,0.393,0.355,1,0,2,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,0.385,-1.0
php,rfc,0,islearn,0.3,56789012,5,5813.852,-1.0,0.961,0.383,0.334,1,0,2,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,0.372,-1.0
php,rfc,0,islearn,0.4,12345678,1,6447.085,-1.0,0.949,0.357,0.417,1,0,2,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,0.368,-1.0
php,rfc,0,islearn,0.4,23456789,2,6335.449,-1.0,0.947,0.348,0.415,1,0,2,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,0.36,-1.0
php,rfc,0,islearn,0.4,34567890,3,6204.469,-1.0,0.943,0.342,0.41,1,0,2,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,0.354,-1.0
php,rfc,0,islearn,0.4,45678901,4,6440.416,-1.0,0.943,0.355,0.427,1,0,2,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,0.367,-1.0
php,rfc,0,islearn,0.4,56789012,5,5510.157,-1.0,0.952,0.384,0.412,1,0,2,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,0.389,-1.0
php,rfc,0,islearn,0.5,12345678,1,6183.088,-1.0,0.935,0.354,0.518,1,0,2,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,0.378,-1.0
php,rfc,0,islearn,0.5,23456789,2,5897.541,-1.0,0.93,0.33,0.508,1,0,2,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,0.355,-1.0
php,rfc,0,islearn,0.5,34567890,3,5862.591,-1.0,0.935,0.366,0.521,1,0,2,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,0.389,-1.0
php,rfc,0,islearn,0.5,45678901,4,6091.738,-1.0,0.933,0.357,0.501,1,0,2,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,0.379,-1.0
php,rfc,0,islearn,0.5,56789012,5,5290.182,-1.0,0.937,0.373,0.511,1,0,2,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,0.394,-1.0
php,rfc,0,islearn,0.6,12345678,1,5773.497,-1.0,0.887,0.279,0.64,1,0,2,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,0.314,-1.0
php,rfc,0,islearn,0.6,23456789,2,5697.692,-1.0,0.892,0.287,0.64,1,0,2,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,0.323,-1.0
php,rfc,0,islearn,0.6,34567890,3,5490.615,-1.0,0.885,0.296,0.677,1,0,2,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,0.334,-1.0
php,rfc,0,islearn,0.6,45678901,4,5726.522,-1.0,0.893,0.318,0.671,1,0,2,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,0.355,-1.0
php,rfc,0,islearn,0.6,56789012,5,4998.255,-1.0,0.894,0.312,0.654,1,0,2,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,0.348,-1.0
php,rfc,0,islearn,0.7,12345678,1,5575.521,-1.0,0.884,0.292,0.705,1,0,2,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,0.331,-1.0
php,rfc,0,islearn,0.7,23456789,2,5365.303,-1.0,0.876,0.279,0.705,1,0,2,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,0.317,-1.0
php,rfc,0,islearn,0.7,34567890,3,5348.221,-1.0,0.877,0.296,0.723,1,0,2,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,0.336,-1.0
php,rfc,0,islearn,0.7,45678901,4,5304.927,-1.0,0.888,0.32,0.707,1,0,2,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,0.359,-1.0
php,rfc,0,islearn,0.7,56789012,5,4815.458,-1.0,0.86,0.272,0.707,1,0,2,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,0.31,-1.0
php,rfc,0,islearn,0.8,12345678,1,5207.166,-1.0,0.859,0.28,0.801,1,0,2,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,0.322,-1.0
php,rfc,0,islearn,0.8,23456789,2,5119.314,-1.0,0.845,0.27,0.839,1,0,2,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,0.312,-1.0
php,rfc,0,islearn,0.8,34567890,3,4845.644,-1.0,0.844,0.274,0.817,1,0,2,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,0.316,-1.0
php,rfc,0,islearn,0.8,45678901,4,4998.241,-1.0,0.843,0.28,0.82,1,0,2,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,0.322,-1.0
php,rfc,0,islearn,0.8,56789012,5,4416.13,-1.0,0.858,0.294,0.804,1,0,2,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,0.337,-1.0
php,rfc,0,tree,0.3,12345678,1,0.935,0.936,0.939,0.34,0.464,1,0,2,0.939,0.34,0.464,1,0,2,-1.0,0.359,0.359
php,rfc,0,tree,0.3,23456789,2,0.907,0.907,0.915,0.313,0.567,1,0,2,0.915,0.313,0.567,1,0,2,-1.0,0.344,0.344
php,rfc,0,tree,0.3,34567890,3,0.885,0.885,0.935,0.366,0.521,1,0,2,0.935,0.366,0.521,1,0,2,-1.0,0.389,0.389
php,rfc,0,tree,0.3,45678901,4,0.965,0.965,0.92,0.339,0.554,1,0,2,0.92,0.339,0.554,1,0,2,-1.0,0.368,0.368
php,rfc,0,tree,0.3,56789012,5,0.852,0.852,0.921,0.344,0.564,1,0,2,0.921,0.344,0.564,1,0,2,-1.0,0.373,0.373
php,rfc,0,tree,0.4,12345678,1,0.758,0.758,0.939,0.34,0.464,1,0,2,0.939,0.34,0.464,1,0,2,-1.0,0.359,0.359
php,rfc,0,tree,0.4,23456789,2,0.84,0.841,0.915,0.313,0.567,1,0,2,0.915,0.313,0.567,1,0,2,-1.0,0.344,0.344
php,rfc,0,tree,0.4,34567890,3,0.946,0.946,0.935,0.366,0.521,1,0,2,0.935,0.366,0.521,1,0,2,-1.0,0.389,0.389
php,rfc,0,tree,0.4,45678901,4,0.928,0.928,0.92,0.339,0.554,1,0,2,0.92,0.339,0.554,1,0,2,-1.0,0.368,0.368
php,rfc,0,tree,0.4,56789012,5,0.943,0.943,0.921,0.344,0.564,1,0,2,0.921,0.344,0.564,1,0,2,-1.0,0.373,0.373
php,rfc,0,tree,0.5,12345678,1,0.94,0.967,0.939,0.34,0.464,1,0,2,0.881,0.312,0.79,2,1,4,-1.0,0.359,0.355
php,rfc,0,tree,0.5,23456789,2,0.772,0.772,0.915,0.313,0.567,1,0,2,0.915,0.313,0.567,1,0,2,-1.0,0.344,0.344
php,rfc,0,tree,0.5,34567890,3,0.882,0.882,0.935,0.366,0.521,1,0,2,0.935,0.366,0.521,1,0,2,-1.0,0.389,0.389
php,rfc,0,tree,0.5,45678901,4,1.016,1.016,0.92,0.339,0.554,1,0,2,0.92,0.339,0.554,1,0,2,-1.0,0.368,0.368
php,rfc,0,tree,0.5,56789012,5,0.749,0.749,0.921,0.344,0.564,1,0,2,0.921,0.344,0.564,1,0,2,-1.0,0.373,0.373
php,rfc,0,tree,0.6,12345678,1,0.773,0.799,0.939,0.34,0.464,1,0,2,0.881,0.312,0.79,2,1,4,-1.0,0.359,0.355
php,rfc,0,tree,0.6,23456789,2,0.799,0.823,0.915,0.313,0.567,1,0,2,0.884,0.316,0.788,2,1,4,-1.0,0.344,0.359
php,rfc,0,tree,0.6,34567890,3,0.886,0.912,0.935,0.366,0.521,1,0,2,0.858,0.309,0.884,2,1,4,-1.0,0.389,0.355
php,rfc,0,tree,0.6,45678901,4,0.706,0.73,0.92,0.339,0.554,1,0,2,0.868,0.325,0.854,2,1,4,-1.0,0.368,0.371
php,rfc,0,tree,0.6,56789012,5,0.685,0.71,0.921,0.344,0.564,1,0,2,0.904,0.357,0.724,2,1,4,-1.0,0.373,0.397
php,rfc,0,tree,0.7,12345678,1,0.848,0.874,0.939,0.34,0.464,1,0,2,0.881,0.312,0.79,2,1,4,-1.0,0.359,0.355
php,rfc,0,tree,0.7,23456789,2,0.899,0.925,0.915,0.313,0.567,1,0,2,0.884,0.316,0.788,2,1,4,-1.0,0.344,0.359
php,rfc,0,tree,0.7,34567890,3,0.615,0.642,0.935,0.366,0.521,1,0,2,0.858,0.309,0.884,2,1,4,-1.0,0.389,0.355
php,rfc,0,tree,0.7,45678901,4,0.825,0.85,0.92,0.339,0.554,1,0,2,0.868,0.325,0.854,2,1,4,-1.0,0.368,0.371
php,rfc,0,tree,0.7,56789012,5,0.848,0.874,0.921,0.344,0.564,1,0,2,0.904,0.357,0.724,2,1,4,-1.0,0.373,0.397
php,rfc,0,tree,0.8,12345678,1,1.009,1.069,0.939,0.34,0.464,1,0,2,0.847,0.291,0.92,3,2,6,-1.0,0.359,0.337
php,rfc,0,tree,0.8,23456789,2,0.834,0.888,0.915,0.313,0.567,1,0,2,0.87,0.318,0.891,3,2,6,-1.0,0.344,0.365
php,rfc,0,tree,0.8,34567890,3,0.869,0.896,0.935,0.366,0.521,1,0,2,0.858,0.309,0.884,2,1,4,-1.0,0.389,0.355
php,rfc,0,tree,0.8,45678901,4,0.79,0.815,0.92,0.339,0.554,1,0,2,0.868,0.325,0.854,2,1,4,-1.0,0.368,0.371
php,rfc,0,tree,0.8,56789012,5,0.777,0.834,0.921,0.344,0.564,1,0,2,0.864,0.328,0.903,3,2,6,-1.0,0.373,0.376
php,rfc,2,bayesian,0.6,12345678,1,188.768,410.53,0.917,0.315,0.562,1,0,2,0.802,0.254,0.987,2,1,4,1.309,0.345,0.298
php,rfc,2,bayesian,0.6,23456789,2,179.868,628.19,0.959,0.239,0.189,1,0,2,0.781,0.236,0.992,2,2,5,1.337,0.227,0.278
php,rfc,2,bayesian,0.6,34567890,3,178.388,178.39,0.798,0.261,0.993,1,0,2,0.798,0.261,0.993,1,0,2,1.323,0.306,0.306
php,rfc,2,bayesian,0.6,45678901,4,174.519,174.519,0.005,0.069,0.998,1,0,2,0.005,0.069,0.998,1,0,2,1.356,0.085,0.085
php,rfc,2,bayesian,0.6,56789012,5,178.259,178.26,0.808,0.273,0.983,0,0,1,0.808,0.273,0.983,0,0,1,1.383,0.319,0.319
php,rfc,2,induction,0.6,12345678,1,15.519,136.439,0.969,0.205,0.117,0,0,1,0.896,0.18,0.288,0,2,3,1.367,0.178,0.195
php,rfc,2,induction,0.6,23456789,2,18.618,142.212,0.987,0.255,0.067,0,0,1,0.898,0.225,0.363,0,3,4,1.654,0.163,0.244
php,rfc,2,induction,0.6,34567890,3,23.879,221.086,0.995,0.354,0.042,0,0,1,0.889,0.213,0.358,0,2,3,1.725,0.142,0.232
php,rfc,2,induction,0.6,45678901,4,22.161,79.806,0.862,0.19,0.436,0,0,1,0.764,0.167,0.6,0,2,3,1.755,0.214,0.195
php,rfc,2,induction,0.6,56789012,5,17.644,109.764,0.897,0.182,0.31,0,0,1,0.897,0.209,0.31,0,1,2,1.52,0.198,0.224
php,rfc,2,islearn,0.6,12345678,1,88.077,-1.0,0.814,0.256,0.94,1,0,2,-1.0,-1.0,-1.0,-1,-1,-1,1.612,0.3,-1.0
php,rfc,2,islearn,0.6,23456789,2,87.932,-1.0,0.842,0.264,0.832,1,0,2,-1.0,-1.0,-1.0,-1,-1,-1,1.383,0.306,-1.0
php,rfc,2,islearn,0.6,34567890,3,107.83,-1.0,0.831,0.27,0.867,1,0,2,-1.0,-1.0,-1.0,-1,-1,-1,1.699,0.313,-1.0
php,rfc,2,islearn,0.6,45678901,4,148.523,-1.0,0.879,0.299,0.695,1,0,2,-1.0,-1.0,-1.0,-1,-1,-1,1.374,0.337,-1.0
php,rfc,2,islearn,0.6,56789012,5,105.3,-1.0,0.865,0.287,0.741,1,0,2,-1.0,-1.0,-1.0,-1,-1,-1,1.43,0.327,-1.0
php,rfc,2,tree,0.6,12345678,1,1.555,1.563,0.916,0.316,0.567,1,0,2,0.839,0.273,0.886,2,1,4,1.683,0.347,0.317
php,rfc,2,tree,0.6,23456789,2,1.609,1.616,0.915,0.313,0.567,1,0,2,0.906,0.321,0.655,2,1,4,1.714,0.344,0.357
php,rfc,2,tree,0.6,34567890,3,1.698,1.706,0.911,0.317,0.573,1,0,2,0.822,0.275,0.943,2,1,4,1.547,0.348,0.32
php,rfc,2,tree,0.6,45678901,4,1.609,1.617,0.92,0.339,0.554,1,0,2,0.899,0.333,0.679,2,1,4,1.724,0.368,0.371
php,rfc,2,tree,0.6,56789012,5,1.684,1.691,0.921,0.344,0.564,1,0,2,0.908,0.342,0.649,2,1,4,1.486,0.373,0.378
php,rfc,3,bayesian,0.6,12345678,1,206.926,670.79,0.917,0.318,0.565,1,0,2,0.797,0.249,0.987,3,2,6,1.311,0.348,0.293
php,rfc,3,bayesian,0.6,23456789,2,202.33,202.33,0.812,0.264,0.992,0,0,1,0.812,0.264,0.992,0,0,1,1.336,0.309,0.309
php,rfc,3,bayesian,0.6,34567890,3,211.101,384.198,0.898,0.187,0.326,1,0,2,0.76,0.229,0.993,2,1,4,1.319,0.204,0.271
php,rfc,3,bayesian,0.6,45678901,4,192.682,387.813,0.951,0.216,0.18,1,0,2,0.792,0.26,0.983,2,1,4,1.358,0.208,0.305
php,rfc,3,bayesian,0.6,56789012,5,208.113,208.113,0.809,0.274,0.983,1,0,2,0.809,0.274,0.983,1,0,2,1.388,0.32,0.32
php,rfc,3,induction,0.6,12345678,1,38.937,164.891,0.969,0.205,0.117,0,0,1,0.832,0.155,0.451,0,1,2,1.697,0.178,0.178
php,rfc,3,induction,0.6,23456789,2,38.865,349.374,0.987,0.255,0.067,0,0,1,0.754,0.144,0.604,0,2,3,1.523,0.163,0.17
php,rfc,3,induction,0.6,34567890,3,41.66,642.425,0.995,0.354,0.042,0,0,1,0.829,0.176,0.509,0,4,5,1.362,0.142,0.202
php,rfc,3,induction,0.6,45678901,4,42.602,184.28,0.922,0.217,0.29,0,0,1,0.726,0.15,0.655,0,2,3,1.378,0.229,0.177
php,rfc,3,induction,0.6,56789012,5,31.713,234.706,0.897,0.182,0.31,0,0,1,0.897,0.183,0.31,0,1,2,1.797,0.198,0.199
php,rfc,3,islearn,0.6,12345678,1,242.743,-1.0,0.85,0.26,0.772,1,0,2,-1.0,-1.0,-1.0,-1,-1,-1,1.711,0.3,-1.0
php,rfc,3,islearn,0.6,23456789,2,266.158,-1.0,0.87,0.261,0.671,1,0,2,-1.0,-1.0,-1.0,-1,-1,-1,1.569,0.297,-1.0
