blackbox,model,learner,rules,coverage,seed,model_number,time_without,time_with,specificity_without,precision_without,recall_without,and_without,or_without,predicates_without,specificity_with,precision_with,recall_with,and_with,or_with,predicates_with,time_influential,fscore_without,fscore_with
bank,rfc,0,induction,0.8,23456789,2,188.482,1064.12,0.941,0.399,0.414,0,0,1,0.89,0.355,0.643,0,2,3,-1.0,0.402,0.39
bank,rfc,0,induction,0.8,34567890,3,230.269,1219.977,0.945,0.43,0.423,0,0,1,0.945,0.43,0.423,1,2,4,-1.0,0.429,0.429
bank,rfc,0,induction,0.8,45678901,4,212.853,1084.308,0.943,0.406,0.401,0,0,1,0.869,0.337,0.685,0,3,4,-1.0,0.405,0.375
bank,rfc,0,induction,0.8,56789012,5,176.137,1070.847,0.944,0.412,0.404,0,0,1,0.869,0.345,0.705,0,3,4,-1.0,0.41,0.384
bank,rfc,0,islearn,0.3,12345678,1,8503.491,-1.0,0.953,0.394,0.305,1,0,2,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,0.372,-1.0
bank,rfc,0,islearn,0.3,23456789,2,8463.741,-1.0,0.936,0.323,0.321,1,0,2,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,0.323,-1.0
bank,rfc,0,islearn,0.3,34567890,3,8657.25,-1.0,0.966,0.469,0.302,1,0,2,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,0.422,-1.0
bank,rfc,0,islearn,0.3,45678901,4,8566.314,-1.0,0.959,0.417,0.306,1,0,2,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,0.389,-1.0
bank,rfc,0,islearn,0.3,56789012,5,8828.604,-1.0,0.961,0.438,0.307,1,0,2,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,0.404,-1.0
bank,rfc,0,islearn,0.4,12345678,1,8340.896,-1.0,0.925,0.354,0.408,1,0,2,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,0.364,-1.0
bank,rfc,0,islearn,0.4,23456789,2,8108.338,-1.0,0.882,0.25,0.417,1,0,2,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,0.272,-1.0
bank,rfc,0,islearn,0.4,34567890,3,7855.192,-1.0,0.933,0.377,0.41,1,0,2,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,0.383,-1.0
bank,rfc,0,islearn,0.4,45678901,4,8211.335,-1.0,0.917,0.339,0.436,1,0,2,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,0.355,-1.0
bank,rfc,0,islearn,0.4,56789012,5,8169.743,-1.0,0.914,0.309,0.4,1,0,2,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,0.324,-1.0
bank,rfc,0,islearn,0.5,12345678,1,8016.358,-1.0,0.888,0.31,0.5,1,0,2,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,0.335,-1.0
bank,rfc,0,islearn,0.5,23456789,2,7857.51,-1.0,0.844,0.238,0.508,1,0,2,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,0.266,-1.0
bank,rfc,0,islearn,0.5,34567890,3,7856.53,-1.0,0.869,0.277,0.512,1,0,2,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,0.305,-1.0
bank,rfc,0,islearn,0.5,45678901,4,7686.16,-1.0,0.891,0.339,0.507,1,0,2,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,0.363,-1.0
bank,rfc,0,islearn,0.5,56789012,5,7995.848,-1.0,0.842,0.237,0.502,1,0,2,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,0.265,-1.0
bank,rfc,0,islearn,0.6,12345678,1,7755.935,-1.0,0.787,0.223,0.608,1,0,2,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,0.255,-1.0
bank,rfc,0,islearn,0.6,23456789,2,7420.68,-1.0,0.781,0.206,0.603,1,0,2,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,0.237,-1.0
bank,rfc,0,islearn,0.6,34567890,3,7508.03,-1.0,0.823,0.251,0.6,1,0,2,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,0.284,-1.0
bank,rfc,0,islearn,0.6,45678901,4,7335.712,-1.0,0.822,0.25,0.614,1,0,2,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,0.284,-1.0
bank,rfc,0,islearn,0.6,56789012,5,7763.775,-1.0,0.795,0.223,0.602,1,0,2,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,0.255,-1.0
bank,rfc,0,islearn,0.7,12345678,1,7032.735,-1.0,0.677,0.18,0.706,1,0,2,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,0.212,-1.0
bank,rfc,0,islearn,0.7,23456789,2,7037.083,-1.0,0.671,0.177,0.716,1,0,2,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,0.208,-1.0
bank,rfc,0,islearn,0.7,34567890,3,6901.329,-1.0,0.711,0.195,0.711,1,0,2,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,0.228,-1.0
bank,rfc,0,islearn,0.7,45678901,4,6709.138,-1.0,0.617,0.151,0.705,1,0,2,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,0.179,-1.0
bank,rfc,0,islearn,0.7,56789012,5,7582.859,-1.0,0.671,0.173,0.705,1,0,2,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,0.204,-1.0
bank,rfc,0,islearn,0.8,12345678,1,6964.768,-1.0,0.572,0.16,0.81,1,0,2,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,0.191,-1.0
bank,rfc,0,islearn,0.8,23456789,2,6553.826,-1.0,0.616,0.164,0.801,1,0,2,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,0.195,-1.0
bank,rfc,0,islearn,0.8,34567890,3,6405.525,-1.0,0.565,0.154,0.807,1,0,2,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,0.184,-1.0
bank,rfc,0,islearn,0.8,45678901,4,6565.08,-1.0,0.527,0.142,0.81,1,0,2,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,0.17,-1.0
bank,rfc,0,islearn,0.8,56789012,5,6882.386,-1.0,0.592,0.161,0.802,1,0,2,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,0.192,-1.0
bank,rfc,0,tree,0.3,12345678,1,0.164,0.186,0.978,0.468,0.191,1,0,2,0.916,0.392,0.535,2,2,5,-1.0,0.363,0.414
bank,rfc,0,tree,0.3,23456789,2,0.156,0.156,0.959,0.444,0.352,1,0,2,0.959,0.444,0.352,1,0,2,-1.0,0.422,0.422
bank,rfc,0,tree,0.3,34567890,3,0.139,0.139,0.965,0.479,0.331,1,0,2,0.965,0.479,0.331,1,0,2,-1.0,0.44,0.44
bank,rfc,0,tree,0.3,45678901,4,0.157,0.179,0.981,0.495,0.192,1,0,2,0.954,0.451,0.392,2,1,4,-1.0,0.376,0.438
bank,rfc,0,tree,0.3,56789012,5,0.114,0.114,0.959,0.442,0.333,1,0,2,0.959,0.442,0.333,1,0,2,-1.0,0.415,0.415
bank,rfc,0,tree,0.4,12345678,1,0.148,0.171,0.978,0.468,0.191,1,0,2,0.916,0.392,0.535,2,2,5,-1.0,0.363,0.414
bank,rfc,0,tree,0.4,23456789,2,0.153,0.176,0.959,0.444,0.352,1,0,2,0.903,0.384,0.643,2,2,5,-1.0,0.422,0.418
bank,rfc,0,tree,0.4,34567890,3,0.157,0.179,0.965,0.479,0.331,1,0,2,0.903,0.393,0.64,2,2,5,-1.0,0.44,0.426
bank,rfc,0,tree,0.4,45678901,4,0.129,0.181,0.981,0.495,0.192,1,0,2,0.903,0.391,0.643,3,3,7,-1.0,0.376,0.424
bank,rfc,0,tree,0.4,56789012,5,0.133,0.155,0.959,0.442,0.333,1,0,2,0.92,0.418,0.585,2,2,5,-1.0,0.415,0.443
bank,rfc,0,tree,0.5,12345678,1,0.142,0.163,0.978,0.468,0.191,1,0,2,0.916,0.392,0.535,2,2,5,-1.0,0.363,0.414
bank,rfc,0,tree,0.5,23456789,2,0.147,0.168,0.959,0.444,0.352,1,0,2,0.903,0.384,0.643,2,2,5,-1.0,0.422,0.418
bank,rfc,0,tree,0.5,34567890,3,0.147,0.17,0.965,0.479,0.331,1,0,2,0.903,0.393,0.64,2,2,5,-1.0,0.44,0.426
bank,rfc,0,tree,0.5,45678901,4,0.15,0.204,0.981,0.495,0.192,1,0,2,0.903,0.391,0.643,3,3,7,-1.0,0.376,0.424
bank,rfc,0,tree,0.5,56789012,5,0.142,0.163,0.959,0.442,0.333,1,0,2,0.92,0.418,0.585,2,2,5,-1.0,0.415,0.443
bank,rfc,0,tree,0.6,12345678,1,0.123,0.175,0.978,0.468,0.191,1,0,2,0.892,0.386,0.672,3,3,7,-1.0,0.363,0.422
bank,rfc,0,tree,0.6,23456789,2,0.137,0.159,0.959,0.444,0.352,1,0,2,0.903,0.384,0.643,2,2,5,-1.0,0.422,0.418
bank,rfc,0,tree,0.6,34567890,3,0.138,0.159,0.965,0.479,0.331,1,0,2,0.903,0.393,0.64,2,2,5,-1.0,0.44,0.426
